x,y,rssi
1.034635483870967619e+03,6.626419354838708387e+02,-3.100000000000000000e+01
6.161612903225806122e+02,5.578451612903224941e+02,-3.700000000000000000e+01
4.151225806451612925e+02,6.647806451612902947e+02,-4.600000000000000000e+01
9.027483870967740813e+02,3.625096774193548299e+02,-3.700000000000000000e+01
1.083825806451613062e+03,3.600000000000000000e+01,-5.000000000000000000e+01
2.368967741935483673e+02,2.748225806451613380e+02,-5.400000000000000000e+01
